id,level,sector,filiere,degree
40321111P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions végétales, cultures spécialisées et protec. des cultures (horticulture,viticulture,arboriculture fruit. ...)",Productions horticoles (BAC PRO Agricole)
40321202P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions animales, élevage specialisé, aquaculture, soins aux animaux (y compris vétérinaire)",Conduite et gestion de l'exploitation agricole CGEA spé production du cheval (BAC PRO AG)
40321203W,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions animales, élevage specialisé, aquaculture, soins aux animaux (y compris vétérinaire)",Technicien conseil vente en animalerie (BAC PRO AG)
40321206P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions animales, élevage specialisé, aquaculture, soins aux animaux (y compris vétérinaire)",Conduite et gestion de l'exploitation agricole CGEA spé élevage et valorisation du cheval (BAC PRO AG)
40321211P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions animales, élevage specialisé, aquaculture, soins aux animaux (y compris vétérinaire)",Conduite et gestion de l'entreprise hippique (BAC PRO Agricole)
40321401P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)",Travaux paysagers (BAC PRO AG)
40321403W,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)",Technicien conseil vente en produits horticoles et de jardinerie (BAC PRO AG)
40321405P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)",Amenagements paysagers (BAC PRO AG)
40321406W,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)",Technicien conseil vente en produits de jardin (BAC PRO AG)
40322102W,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Technicien vente et conseil-qualité en produits alimentaires (BAC PRO AG)
40322107W,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Technicien conseil vente en alimentation spé produits alimentaires (BAC PRO AG)
40333001G,Niveau 4,Services aux personnes,Spécialités plurivalentes sanitaires et sociales,Service aux personnes et aux territoires (SEC PRO AG)
40333401P,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Services en milieu rural (BAC PRO AG)
42023004P,Niveau 4,"Génie civil, construction, bois","Spécialités pluri-technologiques, génie civile, construction, bois",Etudes et économie de la construction (BT)
42023101P,Niveau 4,"Génie civil, construction, bois","Mines et carrières, génie civile topographie",Topographe (BT)
43020004M,Niveau 4,Spécialités pluritechniques de la production,"Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle",STI2D énergies et environnement (BAC TECHNO)
43020006M,Niveau 4,Spécialités pluritechniques de la production,"Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle",STI2D système d'information et numérique (BAC TECHNO)
43031009T,Niveau 4,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Stt action et communication commerciales (BAC TECHNO)
43031013T,Niveau 4,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Stg mercatique (marketing) (BAC TECHNO)
43033401T,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Hôtellerie (BAC TECHNO)
44633501T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité activités nautiques (BP JEPS)
44633504T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité techniques de l'information et de la communication (BP JEPS)
44633505T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité loisirs tous publics (BP JEPS)
44633506T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité activités physiques pour tous (BP JEPS)
44633508T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité activités équestres (BP JEPS)
44633510T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité animation culturelle (BP JEPS)
44633511T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité activités gymniques de la forme et de la force (BP JEPS)
44633512T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité animation sociale (BP JEPS)
44633513T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité activités sports collectifs (BP JEPS)
44633514T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité activités de randonnées (BP JEPS)
44633515T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité activités aquatiques (BP JEPS)
44633518T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité activités aquatiques et de la natation (BP JEPS)
44633521T,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Spécialité Judo-Jiujitsu (BP JEPS)
45022104S,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Cuisinier (BP)
45022105S,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Boulanger (BP)
45022106S,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Boucher (BP)
45022107S,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Charcutier traiteur (BP)
45022108S,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Boulanger (BP)
45022705S,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Gaz option B : distribution du gaz (BP)
45022708S,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Monteur en installations de génie climatique (BP)
45023103U,Niveau 4,"Génie civil, construction, bois","Mines et carrières, génie civile topographie",Conducteur d'engins de chantier de travaux publics (BP)
45023208S,Niveau 4,"Génie civil, construction, bois",Bâtiment : construction et couverture,Construction en maçonnerie et béton armé (BP).
45023210S,Niveau 4,"Génie civil, construction, bois",Bâtiment : construction et couverture,Métiers de la pierre (BP)
45023211S,Niveau 4,"Génie civil, construction, bois",Bâtiment : construction et couverture,Couvreur (BP)
45023212S,Niveau 4,"Génie civil, construction, bois",Bâtiment : construction et couverture,Maçon (BP)
45023301S,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,Etanchéité du bâtiment et des travaux publics (BP)
45023304P,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,"Métreur en peinture, dorure, vitrerie, miroiterie (BP départemental)"
45023308S,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,Carrelage mosaïque (BP)
45023309S,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,"Construction d'ouvrages du bâtiment en aluminium, verre et matériaux de synthèse (BP)"
45023311S,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,Equipements sanitaires (BP)
45023312S,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,Peinture revêtements (BP)
45023404S,Niveau 4,"Génie civil, construction, bois",Travail du bois et de l'ameublement,Menuisier (BP)
45023405S,Niveau 4,"Génie civil, construction, bois",Travail du bois et de l'ameublement,Charpentier (BP)
45024005T,Niveau 4,Matériaux souples,Spécialités pluritechnologiques matériaux souples,Maintenance des articles textiles option : pressing (BP)
45024106S,Niveau 4,Matériaux souples,Textile,Ameublement option : tapisserie décoration (BP)
45024214S,Niveau 4,Matériaux souples,Habillement (y compris mode et couture),Vêtement sur mesure option : couture flou (BP)
45024215S,Niveau 4,Matériaux souples,Habillement (y compris mode et couture),Vêtement sur mesure option : tailleur dame (BP)
45024216S,Niveau 4,Matériaux souples,Habillement (y compris mode et couture),Vêtement sur mesure option : tailleur homme (BP)
45025406S,Niveau 4,"Mécanique, électricité, électronique","Structures métalliques (y compris soudure, carrosserie, coque bateau, cellule avion)",Métallier (BP)
45025410S,Niveau 4,"Mécanique, électricité, électronique","Structures métalliques (y compris soudure, carrosserie, coque bateau, cellule avion)",Serrurerie-métallerie (BP)
45025513S,Niveau 4,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Installations et équipements électriques (BP)
45031206T,Niveau 4,Echanges et gestion,"Commerce, vente",Fleuriste (BP)
45032203W,Niveau 4,Communication et information,Techniques de l'imprimerie et de l'édition,Libraire (BP)
45033104S,Niveau 4,Services aux personnes,Santé,Préparateur en pharmacie (BP)
45033105S,Niveau 4,Services aux personnes,Santé,Prothésiste dentaire (BP)
45033404T,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Gouvernante (BP)
45033406T,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Restaurant (BP)
45033603T,Niveau 4,Services aux personnes,"Coiffure, esthétique, et autres spécialités des services aux personnes",Coiffure option C : coiffure mixte (BP)
45033605T,Niveau 4,Services aux personnes,"Coiffure, esthétique, et autres spécialités des services aux personnes",Coiffure option : styliste visagiste (BP)
45033606T,Niveau 4,Services aux personnes,"Coiffure, esthétique, et autres spécialités des services aux personnes",Coiffure option : coloriste permanentiste (BP)
45033607T,Niveau 4,Services aux personnes,"Coiffure, esthétique, et autres spécialités des services aux personnes",Esthétique cosmétique parfumerie (BP)
45033608T,Niveau 4,Services aux personnes,"Coiffure, esthétique, et autres spécialités des services aux personnes",Coiffure (BP)
45034401T,Niveau 4,Services à la collectivité,"Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité)",Agent technique de prévention et de sécurité (BP)
45321002M,Niveau 4,"Agriculture, pêche, forêt, espaces verts",Spécialités plurivalentes de l'agronomie et de l'agriculture,Agro-équipement (bpa)
45321204P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions animales, élevage specialisé, aquaculture, soins aux animaux (y compris vétérinaire)",Responsable d'Entreprise Hippique (BP)
45321401P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)",Travaux paysagers (BPA)
45321403P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)",Aménagements paysagers (BP)
46033102T,Niveau 4,Services aux personnes,Santé,Aide soignant et aide soignante (certificat d'aptitude aux fonctions de)
46033202T,Niveau 4,Services aux personnes,Travail social,Moniteur éducateur (DIPLOME D' ETAT )
46033203T,Niveau 4,Services aux personnes,Travail social,Technicien de l'intervention sociale et familiale (diplôme)
46321004M,Niveau 4,"Agriculture, pêche, forêt, espaces verts",Spécialités plurivalentes de l'agronomie et de l'agriculture,Arrosage intégré (CSA)
46321005W,Niveau 4,"Agriculture, pêche, forêt, espaces verts",Spécialités plurivalentes de l'agronomie et de l'agriculture,Conduite de production en agriculture biologique et commercialisation (CSA)
46321215T,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions animales, élevage specialisé, aquaculture, soins aux animaux (y compris vétérinaire)",Education et travail des jeunes équidés (CSA)
46321404S,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)",Constructions paysagères (CSA)
46321405M,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)",Maintenance des terrains de sports et de loisirs (CSA)
46421203T,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions animales, élevage specialisé, aquaculture, soins aux animaux (y compris vétérinaire)",Auxiliaire spécialisé vétérinaire (TH)
46C2220AS,Niveau 4,Transformation,Transformations chimiques et apparentées (y compris industrie pharmaceutique),Préparateur en parfum cosmétique et aromatique alimentaire (CCI ISIPCA) (TH)
