id,level,sector,filiere,degree
13531512M,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi","Entreprises, services : entreprise, ressources humaines, innovation, communication, compétences spé management par les compétences et organisation (MASTER Marne la Vallée)"
13531513M,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi","Droit, Economie, Gestion : Management Spé Gestion des Ressources Humaines et Mobilité Internationale (MASTER Marne La Vallée)"
13531514M,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi",Humanités : information et communication spé ressources humaines et communication (MASTER Paris 4)
13531515M,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi",Sciences humaines et sociales : ingénierie des ressources humaines (MASTER Paris 5)
13531517M,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi",Droit : droit social spé droit social et gestion des ressources humaines (MASTER Paris 10)
13531521M,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi",Sciences de gestion : management et conseil spé gestion des ressources humaines des entreprises multinationales (MASTER PARIS 12)
13531526N,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi","Economie et gestion : sciences du management, spécialité management des ressources humaines internationales (MASTER PARIS 2)"
13531529P,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi","Sciences, technologies, santé : biologie et santé, spécialité ergonomie, ingénierie de la santé et des facteurs humains (MASTER PARIS 11)"
13531533M,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi","Droit, economie, gestion : administration et echanges internationaux spe relations sociales et negociation (MASTER Paris 12)"
13531535N,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi",Sciences humaines et sociales : sociologie - démographie spé conduite du changement (Master Versailles)
13531536P,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi","Economie, gestion : administration economique et sociale spe administration et gestion de l'emploi (MASTER Paris 1)"
13532004M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,"Droit, Economie, Gestion : Management Spé Management, Ingénierie des Services et Technologies de l'Information et de la Communication (MASTER Marne La Vallée)"
13532005M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Sciences humaines et sociales : information communication spé communication des entreprises et des institutions (MASTER Paris 3)
13532006M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Sciences politiques et sociales : information et communication spé communication et multimédia (MASTER Paris 2)
13532007M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,"Humanités, sciences de l'homme et du comportement : sciences de l'information et de la communication spé communication et ressources humaines (MASTER PRO Paris 13)"
13532008M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Gestion : management des organisations spé management des systèmes d'information et de connaissance (MASTER PRO Paris 1)
13532009M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,"Lettres, langues, sciences humaines et sociales : littératures, langues, communication spé ingénierie éditoriale et communication (MASTER Cergy)"
13532011M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Humanités : information et communication spé marketing publicité et communication (MASTER Paris 4)
13532014M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Humanités : information et communication spé management et communications interculturelles (MASTER Paris 4)
13532015M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Sciences politiques et sociales : information et communication spé medias et publics (MASTER)
13532017M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Sciences humaines et sociales : information et communication spécailité communiation des entreprises et des institutions (MASTER PARIS 4)
13532018N,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,"Sciences humaines et sociales : information communication, spécialité direction et expertise média (MASTER PARIS 3)"
13532019M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,"Sciences humaines et sociales : information et communication, spécialité médias et communication (MASTER PARIS 4)"
13532021N,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Administration et Gestion des Entreprises Spé Management de la Communication Globale des Organisations (MASTER Versailles)
13532022M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Sciences humaines et sociales : information et communication spé ingénierie des échanges interculturels (MASTER Paris 3)
13532025N,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,"Culture et communication : culture et medias spe dynamiques culturelles : politiques, espaces, pratiques (MASTER Paris 13)"
13532103M,Niveau 1,Communication et information,Journalisme et communication (y compris communication graphique et publicité),"Langues, lettres, arts, sociétés contemporaines : information, communication spé journalisme culturel (MASTER Paris 3)"
13532104M,Niveau 1,Communication et information,Journalisme et communication (y compris communication graphique et publicité),"Sciences humaines et sociales : information et communication, spécialité journalisme et innovation (MASTER PARIS 4)"
13532105N,Niveau 1,Communication et information,Journalisme et communication (y compris communication graphique et publicité),"Sciences des organisations, spécialité journalisme (MASTER Dauphine)"
13532106N,Niveau 1,Communication et information,Journalisme et communication (y compris communication graphique et publicité),"Arts, Lettres, Langues : Cinéma, Documentaire, Medias Spé Journalisme Scientifique (MASTER Paris 7)"
13532201P,Niveau 1,Communication et information,Techniques de l'imprimerie et de l'édition,"Arts, lettres, langues : arts, lettres et technologies spé édition - livre et multimédia (MASTER Marne la vallée)"
13532301P,Niveau 1,Communication et information,"Techniques de l'image et du son, métiers connexes du spectacle","Arts, lettres, langues : études théâtrales spé métiers de la production théâtrale (MASTER Paris 3)"
13532501M,Niveau 1,Communication et information,"Documentation, bibliothèques, administration des données","Sciences humaines et sociales : information et communication spé patrimoine immatériel et information scientifique, technique et économique (Master Marne La Vallée) "
13532502M,Niveau 1,Communication et information,"Documentation, bibliothèques, administration des données",Sciences humaines et sociales : sciences de l'information et de la communication spé métiers du livre (MASTER Paris 10)
13532602M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences technologies santé : informatique spé ingénierie des réseaux et systèmes (MASTER Versailles)
13532614M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données","Sciences juridiques, économiques et de gestion : méthodes informatiques appliquées à la gestion des entreprises spé système d'information, gestion de projets et conduite du changement (MASTER Paris 5)"
13532615M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données","Sciences des organisations (droit, économie, gestion, sciences sociales) : systèmes d'information spé systèmes d'information de l'entreprise étendue (MASTER Dauphine)"
13532618M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences Humaines et Sociales : Information et Communication Spé Cultures et Métiers du Web (MASTER Marne la Vallée) 
13532619M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données","Sciences et technologies : systèmes informatiques et génie électrique systèmes informatiques, intelligents et communicants (MASTER Cergy)"
13532620M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",MIDO : informatique des organisations spé méthodes informatiques appliquées a la gestion des entreprises - systèmes d'information et technologies nouvelles (MASTER MIAGE Dauphine)
13532621M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",MIDO : méthodes informatiques appliquées à la gestion des entreprises et à la décision spé technologies de l'Internet pour les organisations (MASTER Dauphine)
13532623M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences et technologies : méthodes informatiques appliquées à la gestion des entreprises spé agilité des systèmes d'information et e-business (MASTER Paris 10)
13532624M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences et ingénierie : informatique et systèmes spé méthodes informatiques appliquées à la gestion d'entreprise (MASTER Evry)
13532625M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",MIDO : informatique des organisations spé informatique décisionnelle (MASTER Dauphine)
13532627M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences et technologies : informatique spé ingénierie informatique (MASTER Marne la Vallée)
13532631R,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données","Sciences et technologies, santé : informatique spé sécurité des contenus, des réseaux, des télécommunications et des systèmes (MASTER Versailles)"
13532632M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données","Sciences, technologie, santé : sciences de l'ingénieur et applications, spécialité traitement de l'information, systèmes distribues et temps réel (Paris 12)"
13532634M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences de gestion : méthodes informatiques appliquées à la gestion des entreprises (m1 Paris 12)
13532635M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences de gestion : méthodes informatiques appliquées à la gestion des entreprises spé ingénierie des systèmes d'information distribués (MASTER Paris 12)
13532636M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences de gestion : méthodes informatiques appliquées à la gestion des entreprises spé ingénierie des systèmes d'information et d'aide a la décision (MASTER Paris 12)
13532639M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences et technologies : informatique spé réseaux (MASTER Paris 6)
13532645N,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données","Sciences des organisations (droit, économie, gestion, sciences sociales) : systèmes d'information spé gestion et systèmes d'information (MASTER Dauphine)"
13532646N,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",(MIDO) : informatique des organisations spé méthodes informatiques appliquées à la gestion des entreprises informatique pour la finance (MASTER Dauphine)
13532653M,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données","Sciences, technologies, santé : informatique, spécialité sécurité et systèmes informatiques (MASTER PARIS 12)"
13532660N,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",SCIENCES ET TECHNOLOGIES : INFORMATIQUE SPE SCIENCE ET TECHNOLOGIE DU LOGICIEL (MASTER PARIS 6)
13532663N,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Sciences Humaines et Sociales : Métiers Informatique et Maitrise d'ouvrage MIMO Spé Projets Informatiques et Stratégie D'entreprise (Master Paris 1)
13533001P,Niveau 1,Services aux personnes,Spécialités plurivalentes sanitaires et sociales,"Entreprises, services : ingénierie des services spé ingénierie de la protection sociale, des organisations de santé et de l'action sociale (MASTER Marne la Vallée)"
13533002P,Niveau 1,Services aux personnes,Spécialités plurivalentes sanitaires et sociales,Sciences de la société : éducation travail et formation spé conduite de projets et management des organisations (MASTER Paris 12)
13533003R,Niveau 1,Services aux personnes,Spécialités plurivalentes sanitaires et sociales,"Sciences de la vie et de la santé : politique de santé publique, spécialité sécurité sanitaire et qualité des soins (MASTER PRO PARIS V)"
13533004P,Niveau 1,Services aux personnes,Spécialités plurivalentes sanitaires et sociales,"Droit, économie, gestion : management des organisations sanitaires et sociales - ingénierie de la protection sociale (MASTER Marne la vallée)"
13533005P,Niveau 1,Services aux personnes,Spécialités plurivalentes sanitaires et sociales,"Droit, économie, gestion : gestion des entreprises et des organisations, spécialité management des organisations sanitaires et sociales (MASTER PARIS 13)"
13533104W,Niveau 1,Services aux personnes,Santé,Sciences et technologies : santé publique et management de la santé : marketing de la santé (MASTER Paris 6)
13533107M,Niveau 1,Services aux personnes,Santé,"Droit, économie, gestion : management et sante spé management des établissements de sante (MASTER PARIS 12)"
13533108M,Niveau 1,Services aux personnes,Santé,"Sciences, technologies, santé : biologie-santé spé coordinateur d'études dans le domaine de la santé (MASTER Versailles)"
13533110W,Niveau 1,Services aux personnes,Santé,"Sciences, technologies, santé : management des connaissances et innovation, spécialité marketing de la santé (MASTER PARIS 6)"
13533111P,Niveau 1,Services aux personnes,Santé,"Sciences des organisations : économie de la santé et des politiques sociales, spécialité économie et gestion de la santé (MASTER DAUPHINE)"
13533201N,Niveau 1,Services aux personnes,Travail social,Sciences humaines et sociales : sciences de l'éducation spé cadres de l'aide spécialisée à la personne (MASTER Paris 5)
13533202P,Niveau 1,Services aux personnes,Travail social,"Sciences des organisations (droit, économie, gestion, sciences sociales) : économie de la santé et des politiques sociales spé économie et gestion des organisations médico-sociales (MASTER Dauphine)"
13533203P,Niveau 1,Services aux personnes,Travail social,"Droit, économie, gestion : management des organisations sanitaires et sociales spé management de l'insertion par l'économie sociale et solidaire (MASTER Marne la vallée)"
13533302N,Niveau 1,Services aux personnes,"Enseignement, formation","Etudes sociales : travail et développement travail, administration et gestion sociales spé fonction formation développement des compétences dans l'espace européen (MASTER Paris 1)"
13533303N,Niveau 1,Services aux personnes,"Enseignement, formation",Sciences Humaines et Sociales : Sciences de l'Education Spé Cadres et Consultants en Formation Continue (MASTER Paris 5)
13533304P,Niveau 1,Services aux personnes,"Enseignement, formation","Droit, économie, gestion : management et conseil spé développement et management des universités (MASTER Paris 12)"
13533305M,Niveau 1,Services aux personnes,"Enseignement, formation",Sciences humaines et sociales : sociologie spé responsable de formation (MASTER Evry)
13533306N,Niveau 1,Services aux personnes,"Enseignement, formation","Sciences humaines et sociales : information et communication spé applications informatiques : gestion, études, multimédia, e-formation et éducation aux médias (MASTER Paris 3)"
13533307P,Niveau 1,Services aux personnes,"Enseignement, formation","Sciences sociales et économiques : culture et société, spécialité action éducation internationale, médiation sociale et ouverture culturelle (MASTER ICP)"
13533401P,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme","Entreprises, services : ingénierie des services spé ingénierie du tourisme (MASTER Marne la Vallée)"
13533402M,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme",Gestion : tourisme : gestion des activités touristiques et hôtelières GATH (MASTER Paris 1)
13533406M,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme",Sciences humaines et sociales : tourisme spé développement et aménagement touristique des territoires (MASTER Paris 1)
13533407M,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme",Sciences humaines et sociales : tourisme spé valorisation touristique des sites culturels (MASTER Paris 1)
13533408M,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme","Sciences des organisations (droit, économie, gestion, sciences sociales) : management et organisation spécial. management des nouvelles technologies de la communication et tourisme (MASTER Dauphine)"
13533410P,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme","Droit, economie, gestion : administration et gestion des entreprises, spécialité management de la restauration et des services associés (MASTER VERSAILLES)"
13533502M,Niveau 1,Services aux personnes,"Animation culturelle, sportive et de loisirs","Sciences de la vie et de la santé : biologie et physiologie des activités physiques et sportives spé sport, nutrition et santé (MASTER Paris 5)"
13533504P,Niveau 1,Services aux personnes,"Animation culturelle, sportive et de loisirs","Droit, économie, gestion : management des organisations sportives spé management des organisations sportives et de loisirs (MASTER Marne la vallée)"
13533505M,Niveau 1,Services aux personnes,"Animation culturelle, sportive et de loisirs","Sciences humaines et sociales : vieillissement, handicap, mouvement et adaptation (MASTER PARIS 5)"
13533508P,Niveau 1,Services aux personnes,"Animation culturelle, sportive et de loisirs","Sciences, technologies, santé : sciences du sport et de la motricité, spécialité viellissement et handicap, mouvement et adaptation (MASTER PARIS 11)"
13534001M,Niveau 1,Services à la collectivité,Spécialités plurivalentes des services à la collectivité,Sciences santé et applications : sciences et génie de l'environnement spé management de l'environnement des collectivités et des entreprises (MASTER Paris 7)
13534002P,Niveau 1,Services à la collectivité,Spécialités plurivalentes des services à la collectivité,Science politique : management du risque (MASTER PRO Paris 10)
13534003M,Niveau 1,Services à la collectivité,Spécialités plurivalentes des services à la collectivité,"Droit et science politique : politique et action publique, spécialité conduire et évaluer les politiques publiques (MASTER PARIS XIII)"
13534004R,Niveau 1,Services à la collectivité,Spécialités plurivalentes des services à la collectivité,"Economie et gestion : économie et management, spécialité gestion globale des risques et des crises (MASTER PARIS 1)"
13534104N,Niveau 1,Services à la collectivité,"Aménagement du territoire, développement, urbanisme","LLSHS : sciences sociales appliquées aux métiers des études, du conseil et de l'intervention spé projets informatiques et stratégies d'entreprise (MASTER Paris 7)"
13534105M,Niveau 1,Services à la collectivité,"Aménagement du territoire, développement, urbanisme","Ville, territoire et environnement : aménagement et urbanisme politique de la ville dans l'espace euro-méditerranéen (MASTER PRO Marne la Vallée)"
13534110P,Niveau 1,Services à la collectivité,"Aménagement du territoire, développement, urbanisme",Sciences humaines et sociales : géopolitique spé géopolitique locale:aménagement et enjeux de territoires (MASTER Paris 8)
13534111M,Niveau 1,Services à la collectivité,"Aménagement du territoire, développement, urbanisme","Science de l'environnement, du territoire et de l'economie : aménagement energie et ecologie territoriale, spécialité energie et mobilité en milieu urbain (MASTER VERSAILLES)"
13534112R,Niveau 1,Services à la collectivité,"Aménagement du territoire, développement, urbanisme","Sciences humaines et sociales, géographie, aménagement, spécialité appliquée aux études urbaines et aux risques (MASTER CERGY)"
13534120,Niveau 1,Services à la collectivité,"Aménagement du territoire, développement, urbanisme",Financement des collectivités territoriales (MASTER)
13534202N,Niveau 1,Services à la collectivité,Protection et développement du patrimoine,"Lettres, langues, sciences humaines et sociales : développement territorial spé développement culturel et valorisation des patrimoines (MASTER Cergy)"
13534203M,Niveau 1,Services à la collectivité,Protection et développement du patrimoine,"Arts, lettres, langues : médiation culturelle spé tourisme culturel et territoires : ingénierie de projets (MASTER Paris 3)"
13534204M,Niveau 1,Services à la collectivité,Protection et développement du patrimoine,"Sciences de l'environnement, du territoire et de l'économie : aménagement énergie et ecologie territoriale spé analyse économique et gouvernance du risque (MASTER Versailles)"
13534301R,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement",Sciences santé et applications : sciences et génie de l'environnement spé atmosphères et qualité de l'air (MASTER Paris 7)
13534302R,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement","Sciences santé et applications : sciences et génie de l'environnement spé contamination, aérosols et bio aérosols (MASTER Paris 7)"
13534307M,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement",Sciences de l'environnement du territoire et de l'économie : ingénierie du développement durable spé stratégies de développement durable et responsabilité sociale des entreprises (MASTER Versailles)
13534308P,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement",Lettres langues sciences humaines et sociales : développement territorial spé management et ingénierie des services à l'environnement (MASTER Cergy)
13534309R,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement","Sciences, technologie, santé : sciences de l'ingénieur et applications, maintenance et maîtrise des risques industriels (MASTER Paris 12)"
13534311R,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement","Sciences de l'environnement, du territoire et de l'économie : sciences de l'environnement spé qualité de l'air et lutte contre le bruit (MASTER PRO VSQ)"
13534314R,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement","Sciences, technologies, santé : sciences et génie de l'environnement spé air (MASTER PRO Paris 7)"
13534317M,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement","Sciences, technologies, santé : sciences pour l'ingénieur, géosciences et environnement spé sciences de l'environnement-milieux urbains et industriels (MASTER Cergy)"
13534318P,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement","Sciences, technologies, santé : génie urbain spé management et ingénierie des services + l'environnement (MASTER Marne la vallée)"
13534319P,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement","Science environnement, territoire et économie : aménagement énergie et écologie territoriale, spécialité piloter et financer des éco-innovations (MASTER VERSAILLES)"
13534321R,Niveau 1,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement","Sciences et technologies : science de l'univers, environnement, écologie, spécialité environnement continentaux et hydrosciences (MASTER Paris 6)"
13534401P,Niveau 1,Services à la collectivité,"Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité)","Sciences, technologie, santé : sciences de gestion spé management de la maintenance de l'équipement, de la sécurité et de l'environnement (MASTER Paris 13)"
135I0002,Niveau 1,Echanges et gestion,"Finances, banque, assurances",Finance parcours finance d'entreprise (MASTER PRO)
135I0006,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Compétences complémentaires en informatique (MASTER PRO)
135I0014,Niveau 1,Communication et information,Journalisme et communication (y compris communication graphique et publicité),Technologies et techniques des communications (MASTER)
135I0021,Niveau 1,Echanges et gestion,"Comptabilité, gestion",Sciences de gestion mention management et conseil parcours gestion des entreprises (MASTER)
135I0031,Niveau 1,Echanges et gestion,"Commerce, vente",Administration échanges internationaux mention entreprenariat (MASTER)
135I0032,Niveau 1,Echanges et gestion,"Commerce, vente",Administration et échanges internationaux mention conduite du changement des organisations (MASTER)
135I0036,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi",Sciences et métiers du management et de l'international parcours techniques comptables et financières (MASTER)
135I0037,Niveau 1,Echanges et gestion,"Commerce, vente",Sciences et métiers du management et de l'international parcours hôtellerie (MASTER)
135I0042,Niveau 1,Echanges et gestion,"Finances, banque, assurances",Stratégie et management de la banque coopérative européenne (MASTER)
135I0045,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme",Management des organisations hôtelières et touristiques (MASTER 2)
135I0417,Niveau 1,Communication et information,Journalisme et communication (y compris communication graphique et publicité),Management des technologies de l'information et de la communication (MASTER)
135I0418,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Contrôle de gestion et système d'information (MASTER)
135I0436,Niveau 1,Spécialités pluritechniques de la production,"Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle",Matériaux technologies et composants (MATEC) (MASTER)
135I0450,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi","Sciences du management, spécialité management des hommes et de organisations (MASTER)"
14022001N,Niveau 1,Transformation,Spécialités pluri-technologiques des transformations,Design (DSAA)
14631301M,Niveau 1,Echanges et gestion,"Finances, banque, assurances",Concepteur développeur de produits et services d'assurance (ENASS CNAM)
15512101G,Niveau 1,Sciences humaines et droit,Géographie,Diplôme Grade Master de sciences po : stratégies territoriales et urbaines (DGM)
15512801G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Diplôme grade master de sciences po : droit économique (DGM)
15531001M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme grade master de Sciences Po : affaires publiques
15531002M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme grade master de Sciences Po : affaires européennes (MASTER)
15531003M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Management (MASTER Université Paris-Dauphine)
15531004M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme Grade MASTER de Paris Dauphine : Management et Organisation Spé Management Global
15531005M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme Grade MASTER de Paris Dauphine : Management et Organisation Spé MIB Master on International Business Management and NCT Projects
15531006M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme Grade Master de Paris Dauphine : Management et Organisation Spe Consulting en Management et Technologies de l'Information
15531201N,Niveau 1,Echanges et gestion,"Commerce, vente",Marketing et études (MASTER Sciences Po)
15531203M,Niveau 1,Echanges et gestion,"Commerce, vente",DIPLOME GRADE MASTER DE PARIS DAUPHINE : MARKETING ET STRATEGIE SPE MARKETING
15531301N,Niveau 1,Echanges et gestion,"Finances, banque, assurances",Diplôme grade master des Sciences Po : finance et stratégie (MASTER )
15531302M,Niveau 1,Echanges et gestion,"Finances, banque, assurances",Diplôme Grade MASTER de Paris Dauphine : Finance Spé Management de l'Immobilier
15531303M,Niveau 1,Echanges et gestion,"Finances, banque, assurances",Diplôme grade Master de Paris Dauphine : management et organisation spé gestion d'actifs asset management
15531401R,Niveau 1,Echanges et gestion,"Comptabilité, gestion","DIPLOME GRADE MASTER DE PARIS DAUPHINE : MANAGEMENT DE LA PERSFORMANCE SPE RECHERCHE EN COMPTABILITE, AUDIT ET CONTROLE-GESTION"
15531402M,Niveau 1,Echanges et gestion,"Comptabilité, gestion",DIPLOME GRADE MASTER DE PARIS DAUPHINE : MANAGEMENT DE LA PERFORMANCE SPE CONTROLE DE GESTION
15531501N,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi",Diplôme grade master de Sciences Po : gestion des ressources humaines
15532001M,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Diplôme grade master de Sciences Po : communication
15532101M,Niveau 1,Communication et information,Journalisme et communication (y compris communication graphique et publicité),Diplôme grade master de Sciences Po : journalisme
15532102M,Niveau 1,Communication et information,Journalisme et communication (y compris communication graphique et publicité),Diplôme Grade Master de Paris Dauphine : Journalisme
15533401M,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme",Diplôme Grade MASTER de Paris Dauphine : Management et Organisation Spé Management of New Communication Technologies and Tourism
15631001M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Magistère de sciences de gestion (Diplôme Universitaire)
16021401N,Niveau 1,"Agriculture, pêche, forêt, espaces verts","Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)",Paysagiste dplg (école nationale supérieure du paysage)
16031001M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme supérieur de management entrepreneurial de l'école ADVANCIA 
16031002M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme de formation supérieure au management de l'IPAG Paris-Nice
16031003P,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme de l'école de management - Léonard de Vinci La Défense (Niv I)
16031202M,Niveau 1,Echanges et gestion,"Commerce, vente","Diplôme de l'institut supérieur des sciences, techniques et économie commerciales de Paris (ISTEC)"
16031203M,Niveau 1,Echanges et gestion,"Commerce, vente",Diplôme de l'institut international de commerce et de distribution de Paris (ICD)
16031401M,Niveau 1,Echanges et gestion,"Comptabilité, gestion",Comptabilité et gestion (diplôme supérieur de DSCG)
16032101T,Niveau 1,Communication et information,Journalisme et communication (y compris communication graphique et publicité),Diplôme de Journaliste du Centre de Formation des Journalistes
16033201M,Niveau 1,Services aux personnes,Travail social,Diplôme d'Etat D'Ingénierie Sociale (DEIS)
16513601G,Niveau 1,Lettres et arts,"Langues vivantes, civilisations étrangères et régionales",Diplôme de traducteur linguiste de l'institut supérieur d'interprétation et de traduction (ISIT)
16531003M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme de l'école supérieure de gestion de Paris
16531005P,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme de l'institut supérieur de technologie et de management de Noisy (GRADE MASTER)
16531006M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme de l'école supérieure de management escp-eap de Paris
16531008M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme supérieur de management d'entrepreneuriat de l'école ADVANCIA
16531009M,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme vise et grade master de l'école supérieure des sciences économiques et commerciales (ESSEC) é
16531010P,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Diplôme d'études supérieures de gestion (DIPLOME)
