rne,lat,lng
0932342R,48.916764,2.3525463999999374
0932343S,48.967262,2.570781200000056
0932469D,48.91525499999999,2.360385400000041
0932492D,48.9336847,2.4350359999999682
0932505T,48.8489912,2.4253026999999747
0941466H,48.7871445,2.425715500000024
0941925G,48.7970912,2.3677873999999974
0941939X,48.79413659999999,2.40056519999996
0941940Y,48.7861693,2.487296600000036
0942024P,48.740634,2.5368069999999534
0942069N,48.745385,2.440534800000023
0942202H,48.7965589,2.446084599999949
0942215X,48.7871445,2.425715500000024
0942217Z,48.8422376,2.488685499999974
0942262Y,48.81757469999999,2.4477088999999523
0942288B,48.78488189999999,2.439401299999986
0951272S,48.9716349,2.3030201999999917
0951285F,48.9440823,2.2449050999999827
0951286G,49.0542066,2.0684364999999616
0951625A,48.9791671,2.2714659000000665
0951721E,48.9693331,2.30936650000001
0951798N,49.044984,2.0834760000000188
0951830Y,48.9631757,2.288695100000041
0951929F,49.0332552,2.078700499999968
0951938R,49.0084422,2.023033400000031
0951947A,48.9389587,2.247391900000025
0951963T,49.0357493,2.071273099999985
0951972C,48.9623295,2.280262300000004
0782093B,48.7847672,2.0504340999999613
0912142J,48.67627170000001,2.3571438999999828
0771664R,49.021134,2.964402699999937
0781779K,48.899572,2.053645999999958
0782113Y,48.6455403,1.8189519000000018
0912021C,48.711763,2.1705500000000484
0912125R,48.7141488,2.204672100000039
0941609N,48.754499,2.354341999999974
0951684P,48.9806678,2.462326599999983
